INFO:root:Parameters: s_cones_init=1.0 m_cones_init=436.3157894736842, max_probability=5.005, grid_size=45, Variance: 105.75207004583169
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=436.3157894736842, max_probability=7.5024999999999995, grid_size=45, Variance: 3562.712579586272
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=436.3157894736842, max_probability=10.0, grid_size=45, Variance: 1374.9522015863877
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=484.68421052631584, max_probability=0.01, grid_size=45, Variance: 713.587096963068
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=484.68421052631584, max_probability=2.5075, grid_size=45, Variance: 2.394032803246062e+28
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=484.68421052631584, max_probability=5.005, grid_size=45, Variance: 810.1162515074802
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=484.68421052631584, max_probability=7.5024999999999995, grid_size=45, Variance: 4965.77154747878
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=484.68421052631584, max_probability=10.0, grid_size=45, Variance: 260.15759256038234
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=533.0526315789474, max_probability=0.01, grid_size=45, Variance: 1413.277380710492
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=533.0526315789474, max_probability=2.5075, grid_size=45, Variance: 38.372366780729706
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=533.0526315789474, max_probability=5.005, grid_size=45, Variance: 511.5205035017767
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=533.0526315789474, max_probability=7.5024999999999995, grid_size=45, Variance: 250.066111282508
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=533.0526315789474, max_probability=10.0, grid_size=45, Variance: 53.12975067410183
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=581.421052631579, max_probability=0.01, grid_size=45, Variance: 3083.03296011016
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=581.421052631579, max_probability=2.5075, grid_size=45, Variance: 668.4832114936961
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=581.421052631579, max_probability=5.005, grid_size=45, Variance: 1993.868953933115
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=581.421052631579, max_probability=7.5024999999999995, grid_size=45, Variance: 1074.569405672139
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=581.421052631579, max_probability=10.0, grid_size=45, Variance: 4.156306950080018e+29
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=629.7894736842105, max_probability=0.01, grid_size=45, Variance: 145.62225322976215
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=629.7894736842105, max_probability=2.5075, grid_size=45, Variance: 2716.0829983161843
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=629.7894736842105, max_probability=5.005, grid_size=45, Variance: 1247.3774586374177
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=629.7894736842105, max_probability=7.5024999999999995, grid_size=45, Variance: 1019.8378284797645
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=629.7894736842105, max_probability=10.0, grid_size=45, Variance: 1477.028853769912
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=678.1578947368422, max_probability=0.01, grid_size=45, Variance: 2430.7975685784454
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=678.1578947368422, max_probability=2.5075, grid_size=45, Variance: 1531.8945733196852
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=678.1578947368422, max_probability=5.005, grid_size=45, Variance: 354.82617284920883
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=678.1578947368422, max_probability=7.5024999999999995, grid_size=45, Variance: 2623.950959486575
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=678.1578947368422, max_probability=10.0, grid_size=45, Variance: 173.45956961180497
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=726.5263157894738, max_probability=0.01, grid_size=45, Variance: 1684.124030668576
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=726.5263157894738, max_probability=2.5075, grid_size=45, Variance: 568.6800395178457
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=726.5263157894738, max_probability=5.005, grid_size=45, Variance: 308.25807885491696
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=726.5263157894738, max_probability=7.5024999999999995, grid_size=45, Variance: 2216.987489903126
INFO:root:Parameters: s_cones_init=1.0 m_cones_init=726.5263157894738, max_probability=10.0, grid_size=45, Variance: 354.31913840125316
