INFO:root:Parameters: birth_rate=0.7 a=63.25, m=3.334222222222222 c=9.0, init_mode=random, grid_size=45, Variance: 401.5152616981406
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=3.334222222222222 c=17.0, init_mode=random, grid_size=45, Variance: 1593.9895819809135
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=3.334222222222222 c=25.0, init_mode=random, grid_size=45, Variance: 3.995542708202355e+29
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=6.6674444444444445 c=1.0, init_mode=random, grid_size=45, Variance: 249.84536489730755
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=6.6674444444444445 c=9.0, init_mode=random, grid_size=45, Variance: 7319.8269582755465
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=6.6674444444444445 c=17.0, init_mode=random, grid_size=45, Variance: 1.3395580980606786e+28
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=6.6674444444444445 c=25.0, init_mode=random, grid_size=45, Variance: 1386.145432461004
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=10.000666666666666 c=1.0, init_mode=random, grid_size=45, Variance: 1.9705916138339898e+30
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=10.000666666666666 c=9.0, init_mode=random, grid_size=45, Variance: 7.182032931918014e+29
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=10.000666666666666 c=17.0, init_mode=random, grid_size=45, Variance: 215.57160510185142
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=10.000666666666666 c=25.0, init_mode=random, grid_size=45, Variance: 112.72802883816176
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=13.333888888888888 c=1.0, init_mode=random, grid_size=45, Variance: 440.1382660899771
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=13.333888888888888 c=9.0, init_mode=random, grid_size=45, Variance: 1.3395580980606995e+30
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=13.333888888888888 c=17.0, init_mode=random, grid_size=45, Variance: 1265.2301295054285
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=13.333888888888888 c=25.0, init_mode=random, grid_size=45, Variance: 491.08912406927567
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=16.66711111111111 c=1.0, init_mode=random, grid_size=45, Variance: 18981.32233174174
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=16.66711111111111 c=9.0, init_mode=random, grid_size=45, Variance: 663.4502032408959
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=16.66711111111111 c=17.0, init_mode=random, grid_size=45, Variance: 179.65595418745298
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=16.66711111111111 c=25.0, init_mode=random, grid_size=45, Variance: 416.04178991594745
INFO:root:Parameters: birth_rate=0.7 a=63.25, m=20.000333333333334 c=1.0, init_mode=random, grid_size=45, Variance: 286.3686104466029
